"subjects"	"cluster.id"
"1"	"subject1"	6
"2"	"subject2"	7
"3"	"subject3"	9
"4"	"subject4"	6
"5"	"subject5"	4
"6"	"subject6"	11
"7"	"subject7"	12
"8"	"subject8"	12
"9"	"subject9"	12
"10"	"subject10"	2
"11"	"subject11"	5
"12"	"subject12"	6
"13"	"subject13"	2
"14"	"subject14"	5
"15"	"subject15"	11
"16"	"subject16"	11
"17"	"subject17"	4
"18"	"subject18"	1
"19"	"subject19"	9
"20"	"subject20"	3
"21"	"subject21"	8
"22"	"subject22"	8
"23"	"subject23"	12
"24"	"subject24"	1
"25"	"subject25"	11
"26"	"subject26"	11
"27"	"subject27"	2
"28"	"subject28"	12
"29"	"subject29"	12
"30"	"subject30"	2
"31"	"subject31"	9
"32"	"subject32"	11
"33"	"subject33"	5
"34"	"subject34"	10
"35"	"subject35"	7
"36"	"subject36"	5
"37"	"subject37"	1
"38"	"subject38"	12
"39"	"subject39"	12
"40"	"subject40"	11
"41"	"subject41"	12
"42"	"subject42"	12
"43"	"subject43"	5
"44"	"subject44"	7
"45"	"subject45"	14
"46"	"subject46"	12
"47"	"subject47"	11
"48"	"subject48"	11
"49"	"subject49"	7
"50"	"subject50"	12
"51"	"subject51"	13
"52"	"subject52"	1
"53"	"subject53"	15
"54"	"subject54"	12
"55"	"subject55"	13
"56"	"subject56"	1
"57"	"subject57"	5
"58"	"subject58"	3
"59"	"subject59"	1
"60"	"subject60"	4
"61"	"subject61"	12
"62"	"subject62"	5
"63"	"subject63"	15
"64"	"subject64"	9
"65"	"subject65"	12
"66"	"subject66"	7
"67"	"subject67"	1
"68"	"subject68"	14
"69"	"subject69"	11
"70"	"subject70"	2
"71"	"subject71"	12
"72"	"subject72"	15
"73"	"subject73"	14
"74"	"subject74"	6
"75"	"subject75"	2
"76"	"subject76"	12
"77"	"subject77"	2
"78"	"subject78"	7
"79"	"subject79"	1
"80"	"subject80"	12
"81"	"subject81"	5
"82"	"subject82"	4
"83"	"subject83"	11
"84"	"subject84"	13
"85"	"subject85"	4
"86"	"subject86"	13
"87"	"subject87"	5
"88"	"subject88"	7
"89"	"subject89"	11
"90"	"subject90"	7
"91"	"subject91"	7
"92"	"subject92"	1
"93"	"subject93"	12
"94"	"subject94"	1
"95"	"subject95"	2
"96"	"subject96"	9
"97"	"subject97"	15
"98"	"subject98"	7
"99"	"subject99"	15
"100"	"subject100"	12
"101"	"subject101"	12
"102"	"subject102"	7
"103"	"subject103"	13
"104"	"subject104"	3
"105"	"subject105"	7
"106"	"subject106"	7
"107"	"subject107"	5
"108"	"subject108"	8
"109"	"subject109"	5
"110"	"subject110"	12
"111"	"subject111"	15
"112"	"subject112"	1
